timestamp,Open,High,Low,Close,Volume
1684050660,26837.02,26839.27,26837.01,26839.26,3.52191
1684050720,26839.26,26839.3,26839.26,26839.29,6.20593
1684050780,26839.29,26840.12,26839.29,26840.12,17.69712
1684050840,26840.12,26845.77,26840.11,26840.65,9.30301
1684050900,26840.66,26840.66,26839.46,26839.46,4.60622
1684050960,26839.47,26846.24,26839.46,26846.23,3.51305
1684051020,26846.24,26847.41,26846.23,26847.4,3.42805
1684051080,26847.4,26855.38,26847.4,26855.38,21.43197
1684051140,26855.37,26858.19,26855.21,26855.21,17.75315
1684051200,26855.22,26858.27,26855.21,26855.23,5.65844
1684051260,26855.22,26855.24,26852.87,26852.88,16.07115
1684051320,26852.87,26852.88,26850.46,26850.47,10.93371
1684051380,26850.47,26850.47,26842.95,26842.95,7.1951
1684051440,26842.95,26842.96,26842.95,26842.96,3.83653
1684051500,26842.96,26842.97,26842.95,26842.96,3.0795
1684051560,26842.96,26847.02,26842.96,26847.02,5.60124
1684051620,26847.01,26847.02,26837.72,26840.94,21.07651
1684051680,26840.94,26841.54,26840.25,26840.25,3.13584
1684051740,26840.26,26843.03,26840.25,26843.02,4.37985
1684051800,26843.03,26844.21,26838.26,26844.21,13.10537
1684051860,26844.21,26844.21,26844.2,26844.21,2.24079
1684051920,26844.21,26844.41,26844.2,26844.25,2.67151
1684051980,26844.24,26844.24,26829.98,26829.98,12.33431
1684052040,26829.99,26839.24,26829.98,26837.14,10.16043
1684052100,26837.13,26844.25,26835.77,26844.24,8.72802
1684052160,26844.24,26844.25,26844.24,26844.24,1.39524
1684052220,26844.25,26848.62,26844.24,26848.62,10.42565
1684052280,26848.62,26848.62,26846.79,26846.8,3.52273
1684052340,26846.8,26847.47,26846.79,26847.47,2.09617
1684052400,26847.47,26848.27,26847.46,26848.26,8.01206
1684052460,26848.27,26848.27,26848.26,26848.27,3.11222
1684052520,26848.26,26848.27,26848.15,26848.15,2.48261
1684052580,26848.15,26860.0,26848.15,26859.99,11.91475
1684052640,26859.99,26860.0,26857.07,26857.08,3.92029
1684052700,26857.07,26857.08,26848.64,26848.64,5.74498
1684052760,26848.65,26848.65,26840.0,26840.0,6.0264
1684052820,26840.0,26840.01,26840.0,26840.0,1.59142
1684052880,26840.0,26840.01,26836.34,26836.42,6.40279
1684052940,26836.41,26840.01,26836.41,26840.0,3.42818
1684053000,26840.0,26840.01,26834.45,26837.68,7.19504
1684053060,26837.67,26850.0,26837.67,26849.99,26.65797
1684053120,26849.99,26854.18,26849.99,26854.18,5.27247
1684053180,26854.18,26855.26,26854.17,26855.26,11.71889
1684053240,26855.25,26857.1,26855.25,26857.09,4.59849
1684053300,26857.1,26862.43,26857.09,26862.42,6.90087
1684053360,26862.42,26866.73,26862.42,26866.73,18.50142
1684053420,26866.73,26870.0,26866.72,26869.99,10.88128
1684053480,26869.99,26872.82,26869.07,26869.08,9.43493
1684053540,26869.07,26886.73,26867.53,26870.94,36.59903
1684053600,26870.94,26870.95,26864.13,26864.14,5.89697
1684053660,26864.14,26864.14,26864.13,26864.14,4.87354
1684053720,26864.13,26864.14,26864.13,26864.14,3.49873
1684053780,26864.13,26866.14,26864.13,26866.13,8.55629
1684053840,26866.13,26866.14,26862.87,26862.87,3.04448
1684053900,26862.87,26862.88,26862.87,26862.87,2.33434
1684053960,26862.88,26862.88,26858.82,26858.82,16.27718
1684054020,26858.83,26858.83,26847.94,26847.94,7.76827
1684054080,26847.94,26847.95,26847.93,26847.93,7.97931
1684054140,26847.93,26847.94,26847.03,26847.04,4.11856
1684054200,26847.04,26847.04,26844.11,26844.11,5.88035
1684054260,26844.12,26844.12,26842.69,26842.7,3.02433
1684054320,26842.69,26848.03,26842.24,26848.03,9.99454
1684054380,26848.02,26850.62,26848.02,26850.62,4.04852
1684054440,26850.61,26850.62,26850.61,26850.62,4.40818
1684054500,26850.61,26851.49,26850.61,26851.49,6.33626
1684054560,26851.48,26851.49,26846.75,26846.75,9.57374
1684054620,26846.76,26846.76,26840.0,26840.0,8.09134
1684054680,26840.01,26845.53,26840.0,26845.53,7.17139
1684054740,26845.53,26845.53,26845.52,26845.53,2.24544
1684054800,26845.53,26847.07,26845.52,26847.07,4.13101
1684054860,26847.06,26847.08,26847.06,26847.08,7.77131
1684054920,26847.07,26847.98,26846.5,26846.5,8.98594
1684054980,26846.51,26846.51,26846.07,26846.08,3.34371
1684055040,26846.07,26846.08,26845.92,26845.92,3.46842
1684055100,26845.93,26845.93,26845.53,26845.53,11.87184
1684055160,26845.54,26851.45,26841.65,26851.45,25.23179
1684055220,26851.44,26868.21,26851.44,26868.2,15.99249
1684055280,26868.21,26868.21,26864.33,26864.34,8.05833
1684055340,26864.33,26868.73,26864.33,26867.74,5.80915
1684055400,26867.74,26867.74,26864.71,26865.09,19.45018
1684055460,26865.09,26865.1,26859.52,26859.97,8.94215
1684055520,26859.98,26859.98,26847.69,26847.7,24.71041
1684055580,26847.7,26847.7,26842.57,26842.58,3.12957
1684055640,26842.58,26844.79,26842.57,26844.79,2.81592
1684055700,26844.79,26846.38,26844.78,26846.37,8.5609
1684055760,26846.38,26846.38,26846.37,26846.38,3.49298
1684055820,26846.37,26846.38,26846.37,26846.37,2.66711
1684055880,26846.37,26846.38,26841.09,26841.17,18.04484
1684055940,26841.17,26841.18,26840.0,26840.0,4.84762
1684056000,26840.0,26840.01,26830.16,26832.31,16.95276
1684056060,26832.3,26837.33,26832.3,26837.33,5.11622
1684056120,26837.33,26837.33,26832.66,26832.67,3.51795
1684056180,26832.66,26832.67,26823.95,26830.22,15.56894
1684056240,26830.22,26830.46,26823.28,26828.15,23.20819
1684056300,26828.15,26828.16,26815.12,26816.45,15.54419
1684056360,26816.46,26826.09,26816.45,26824.89,13.73883
1684056420,26824.88,26826.29,26823.86,26823.86,6.41528
1684056480,26823.87,26826.89,26823.85,26826.88,16.28703
1684056540,26826.88,26826.89,26823.86,26823.86,19.45719
1684056600,26823.87,26823.87,26820.47,26820.48,11.66373
1684056660,26820.48,26820.48,26808.81,26815.58,29.83942
1684056720,26815.59,26831.98,26815.58,26831.98,19.89147
1684056780,26831.97,26831.98,26831.97,26831.98,0.97606
1684056840,26831.98,26831.98,26831.97,26831.97,4.1534
1684056900,26831.97,26831.98,26831.97,26831.98,1.78252
1684056960,26831.98,26831.98,26829.24,26831.98,8.82087
1684057020,26831.98,26835.99,26831.97,26835.99,8.32357
1684057080,26835.99,26845.33,26835.98,26845.33,9.9874
1684057140,26845.32,26845.85,26845.32,26845.84,2.53476
1684057200,26845.84,26845.85,26845.59,26845.59,4.48139
1684057260,26845.6,26845.6,26843.02,26843.03,3.73598
1684057320,26843.03,26843.03,26843.02,26843.03,13.31277
1684057380,26843.02,26843.03,26843.02,26843.02,1.77728
1684057440,26843.03,26844.77,26843.02,26844.76,9.67901
1684057500,26844.76,26844.77,26844.72,26844.73,5.87178
1684057560,26844.73,26848.31,26844.72,26848.31,4.68293
1684057620,26848.3,26848.31,26848.3,26848.3,6.02984
1684057680,26848.3,26853.9,26848.3,26853.76,9.17172
1684057740,26853.75,26853.76,26851.95,26851.95,3.25079
1684057800,26851.96,26853.95,26851.95,26853.95,11.75703
1684057860,26853.94,26853.98,26853.93,26853.98,12.5393
1684057920,26853.97,26854.03,26853.97,26854.02,2.56075
1684057980,26854.02,26854.7,26854.02,26854.69,3.95171
1684058040,26854.7,26854.7,26854.69,26854.7,3.13014
1684058100,26854.69,26854.7,26851.11,26851.89,8.57623
1684058160,26851.88,26851.89,26845.92,26846.25,19.15162
1684058220,26846.26,26851.8,26843.03,26851.59,18.34273
